date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:23	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2016%20Jun%202020%2015:18:22%20GMT	https://keshilliveterinar.com/robots.txt		(from )
17:18:23	24946/24946	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:22%20GMT	https://keshilliveterinar.com/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/index.html	(from )
17:18:24	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2016%20Jun%202020%2015:18:23%20GMT	https://keshilliveterinar.com/xmlrpc.php	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/xmlrpc.0.delayed	(from https://keshilliveterinar.com/)
17:18:28	96873/96873	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20May%202019%2002:38:54%20GMT	https://keshilliveterinar.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-includes/js/jquery/jquery4a5f.js	(from https://keshilliveterinar.com/)
17:18:28	761/761	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2016%20Jun%202020%2015:18:27%20GMT	https://keshilliveterinar.com/comments/feed/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/comments/feed/index.html	(from https://keshilliveterinar.com/)
17:18:29	97394/97394	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2011%20May%202020%2015:12:19%20GMT	https://keshilliveterinar.com/feed/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/feed/index.html	(from https://keshilliveterinar.com/)
17:18:29	840/840	---MC-	200	added ('OK')	text/xml	date:Tue,%2016%20Jun%202020%2015:18:28%20GMT	https://keshilliveterinar.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/xmlrpc0db0.php	(from https://keshilliveterinar.com/)
17:18:30	274441/274441	---M--	200	added ('OK')	text/css	date:Mon,%2011%20May%202020%2015:13:09%20GMT	https://keshilliveterinar.com/wp-content/cache/autoptimize/css/autoptimize_cf1efec499ddbf35e8322b333d2de31a.css	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/cache/autoptimize/css/autoptimize_cf1efec499ddbf35e8322b333d2de31a.css	(from https://keshilliveterinar.com/)
17:18:30	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2006:19:12%20GMT	https://keshilliveterinar.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-includes/wlwmanifest.xml	(from https://keshilliveterinar.com/)
17:18:30	115615/115615	---MC-	200	added ('OK')	application/json	date:Tue,%2016%20Jun%202020%2015:18:28%20GMT	https://keshilliveterinar.com/wp-json/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-json/index.html	(from https://keshilliveterinar.com/)
17:18:31	2424/2424	---MC-	200	added ('OK')	application/json	date:Tue,%2016%20Jun%202020%2015:18:30%20GMT	https://keshilliveterinar.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkeshilliveterinar.com%2F	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-json/oembed/1.0/embed8018.json	(from https://keshilliveterinar.com/)
17:18:34	2556/2556	---MC-	200	added ('OK')	text/xml	date:Tue,%2016%20Jun%202020%2015:18:32%20GMT	https://keshilliveterinar.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkeshilliveterinar.com%2F&format=xml	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-json/oembed/1.0/embedf769	(from https://keshilliveterinar.com/)
17:18:35	12334/12334	---M--	200	added ('OK')	application/javascript	date:Sun,%2014%20Jun%202020%2006:46:48%20GMT	https://keshilliveterinar.com/wp-content/cache/autoptimize/js/autoptimize_02d4265ed1b9a430418994e589934053.js	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/cache/autoptimize/js/autoptimize_02d4265ed1b9a430418994e589934053.js	(from https://keshilliveterinar.com/)
17:18:35	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:18:35%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_275,h_237/https://keshilliveterinar.com/wp-content/uploads/2019/06/cropped-stema.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img,w_275,h_237/https_/keshilliveterinar.com/wp-content/uploads/2019/06/cropped-stema.8.delayed	(from https://keshilliveterinar.com/)
17:18:36	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:18:36%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait,w_275,h_237/https://keshilliveterinar.com/wp-content/uploads/2019/06/cropped-stema.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait,w_275,h_237/https_/keshilliveterinar.com/wp-content/uploads/2019/06/cropped-stema.png	(from https://keshilliveterinar.com/)
17:18:37	51729/51729	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jul%202019%2010:42:48%20GMT	https://keshilliveterinar.com/wp-content/uploads/2019/06/cropped-stema.png	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/uploads/2019/06/cropped-stema.png	(from https://keshilliveterinar.com/)
17:18:38	108893/108893	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:37%20GMT	https://keshilliveterinar.com/ligji-per-ushqimin/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/ligji-per-ushqimin/index.html	(from https://keshilliveterinar.com/)
17:18:39	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jun%202020%2015:18:37%20GMT	https://keshilliveterinar.com/wp-admin	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-admin.b.delayed	(from https://keshilliveterinar.com/)
17:18:40	195201/195201	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:39%20GMT	https://keshilliveterinar.com/per-sherbimin-veterinar-ne-republiken-e-shqiperise/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/per-sherbimin-veterinar-ne-republiken-e-shqiperise/index.html	(from https://keshilliveterinar.com/)
17:18:41	19563/19563	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:37%20GMT	https://keshilliveterinar.com/revistat/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/revistat/index.html	(from https://keshilliveterinar.com/)
